target,model_class,model,feature_group,ticker,rmse,mae,r2
future_vol_21d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,XLF,0.004965812081677349,0.003562826508417657,-0.21371860902070217
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLF,0.00497850763841931,0.0036046308261921986,-0.21993250929241426
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLF,0.00501308634435855,0.0034390047355505986,-0.23693767871990823
future_vol_21d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,XLF,0.0050412701652267486,0.0036516612616458474,-0.2508850255118309
future_vol_21d,Linear Regression,Linear Regression | baseline,baseline,XLI,0.0036920407380876884,0.0024762992548960786,0.14356660901449514
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,XLI,0.0037405591080799344,0.0024799149662672023,0.12090933919113311
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,XLI,0.003856914136817319,0.0024679868686896056,0.06536817742657952
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,XLI,0.003923433704746149,0.002456735707394805,0.03285128337330767
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLI,0.0043456260393942596,0.002710145762950541,-0.18649339200096882
future_vol_21d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,XLI,0.004372789893648732,0.00273977793374872,-0.2013729351957807
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,XLI,0.004443917572657078,0.0028717535151143326,-0.24077379429326395
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLI,0.004461824604191154,0.0028850051387100816,-0.25079348553916625
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,XLI,0.0037737176629158166,0.0026446557700624236,0.10525468768384927
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLI,0.0038023557012404124,0.002731033792359897,0.0916230491935065
future_vol_21d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,XLI,0.004046170594345211,0.0027558117162915347,-0.02860587765711986
future_vol_21d,Random Forest,Random Forest | baseline,baseline,XLI,0.004123992378921389,0.0025978007037996227,-0.06855364647501694
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,XLI,0.0042085989584743355,0.00259914240747809,-0.1128476405643759
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,XLI,0.004240360504802919,0.0026620164664252917,-0.12970794791394313
future_vol_21d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,XLI,0.004404051247885461,0.0028629099504922685,-0.2186117199914599
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLI,0.004438817315816165,0.002848816651772484,-0.23792737175119205
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,XLI,0.003889506437444524,0.002720473952151761,0.049505491975439186
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,XLI,0.003899318627751758,0.002629422937994159,0.04470375314100017
future_vol_21d,XGBoost,XGBoost | baseline,baseline,XLI,0.004020028681529373,0.002525216201814043,-0.01535737089880862
future_vol_21d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,XLI,0.004034218639837938,0.0027663207458321734,-0.022538069585027465
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,XLI,0.0040368825646088435,0.002518776983707996,-0.02388894523003482
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLI,0.004091792512883019,0.0028011425038918895,-0.05193239396240967
future_vol_21d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,XLI,0.004333615582247175,0.002820450478969203,-0.17994398560633895
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLI,0.004377394243116538,0.0027351158989229367,-0.20390424961986287
future_vol_21d,Linear Regression,Linear Regression | baseline,baseline,XLK,0.005125669169063316,0.0035520671873161738,0.2385686486115457
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,XLK,0.0051423322681961245,0.003420891959938237,0.2336099089262329
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,XLK,0.005189468252980916,0.0035890353636225856,0.21949564582459635
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,XLK,0.005301404585384617,0.0034903694674568594,0.18546169967891812
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLK,0.005604461951631986,0.00372118112272979,0.0896729213246189
future_vol_21d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,XLK,0.005622003234388865,0.003743717375572872,0.08396557805065985
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,XLK,0.005636378069185467,0.0038698934012080886,0.07927519375634484
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLK,0.005648651150025416,0.0038760561041591723,0.07526111495492205
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLK,0.004970541630656193,0.003510877150254302,0.28396039813935037
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,XLK,0.005001249524057916,0.0035809968914600715,0.2750857159432831
future_vol_21d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,XLK,0.005118109187471418,0.003556517365797202,0.2408131016473245
future_vol_21d,Random Forest,Random Forest | baseline,baseline,XLK,0.00528597907121227,0.003681602072946079,0.1901949329795687
future_vol_21d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,XLK,0.005446120526973416,0.003734007482944824,0.1403847568000689
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,XLK,0.005488258213449946,0.003788794002177594,0.12703127830173067
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLK,0.005623660863501372,0.0037865649255299032,0.0834253189590638
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,XLK,0.005755814909876552,0.0038796425199170616,0.0398407924789409
future_vol_21d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,XLK,0.005223187160516495,0.003617330025037265,0.20931993859519515
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,XLK,0.005253812215721033,0.003724826741000791,0.2000207852464918
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLK,0.0053057684852498305,0.0037450824625379756,0.1841201583920633
future_vol_21d,XGBoost,XGBoost | baseline,baseline,XLK,0.00536533761009965,0.0036259607473500353,0.16569716192327633
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,XLK,0.005558588952482334,0.003957036697722498,0.10451414298086381
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,XLK,0.005602443116314116,0.003775930192467474,0.0903286379545154
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLK,0.005845145427435878,0.0038774753828309,0.009806085213136417
future_vol_21d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,XLK,0.005875392435518178,0.0040613061895550355,-0.00046838827460793375
future_vol_21d,Linear Regression,Linear Regression | baseline,baseline,XLV,0.00281215779059014,0.002019937604516598,0.18376900980358657
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,XLV,0.0028803199358141216,0.0020629741694604604,0.1437212433769688
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,XLV,0.0031160113991644998,0.0022020335183027063,-0.0021478166042381286
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,XLV,0.0032620864262378666,0.002277778210537041,-0.09830923499479294
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,XLV,0.003701887905281627,0.0025160519800327985,-0.41442601994125394
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLV,0.0037209042508634005,0.0025232267170006216,-0.4289949638215378
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLV,0.00388643903184308,0.002611255560954576,-0.5589688133473267
future_vol_21d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,XLV,0.00393290451872961,0.002632125638990805,-0.5964690921023739
future_vol_21d,Random Forest,Random Forest | baseline,baseline,XLV,0.0028546108439696342,0.0020846375519778873,0.15893892960604794
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,XLV,0.002883685390807258,0.0021607499715546744,0.14171906913625687
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,XLV,0.003064305345753278,0.0022334310510535357,0.03083485517976392
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,XLV,0.003082843747481385,0.002244244410985724,0.019072893914681477
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLV,0.003158380521774333,0.002262212160266176,-0.029585966383191442
future_vol_21d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,XLV,0.003170712955458147,0.0023879230394872825,-0.03764205079036809
future_vol_21d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,XLV,0.0032329666546456826,0.0023591762610758026,-0.07878813087125147
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLV,0.003308839767829178,0.0025180518388108605,-0.130017534721784
future_vol_21d,XGBoost,XGBoost | baseline,baseline,XLV,0.0028488854009471867,0.0020198123742980736,0.162309349162863
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,XLV,0.002866831139747808,0.002057498706952721,0.15172252416656296
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,XLV,0.0028870321552831066,0.0021681061219421026,0.13972569565002635
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,XLV,0.002999820536112099,0.0022319330973117617,0.07119561552698717
future_vol_21d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,XLV,0.0034351893006894334,0.0025109884637548683,-0.21796569986006786
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLV,0.003453460376496693,0.0026001266774269695,-0.23095638114388883
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLV,0.0034624883789684323,0.0024553246793313434,-0.23740070184694018
future_vol_21d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,XLV,0.003656782714737935,0.002658141331780982,-0.38016821005821066
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,SPY,0.004787471166651049,0.0031727926702048393,0.3859965324832071
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,SPY,0.004799378929671751,0.003145601904105974,0.3829383415195494
future_vol_5d,Linear Regression,Linear Regression | baseline,baseline,SPY,0.004946663384996575,0.003197268096201335,0.34448414984724185
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,SPY,0.004963446481934633,0.0032386071829773318,0.34002852052530497
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,SPY,0.0050484705658453925,0.0032977385971722415,0.31722417120123314
future_vol_5d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,SPY,0.005081433590606857,0.0033297804177397946,0.30827895433369246
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,SPY,0.0056357234720971405,0.003691009571976622,0.1491405397278177
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,SPY,0.005689017396217868,0.003724123227462794,0.1329722362003728
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,SPY,0.004896287352763055,0.0034674854665928813,0.35776750397124657
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,SPY,0.004907735959518797,0.0033875529740141847,0.354760628415705
future_vol_5d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,SPY,0.004919216158730048,0.0033981955006916684,0.3517384037532558
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,SPY,0.0049281692391330385,0.003413144816912131,0.3493765559901999
future_vol_5d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,SPY,0.004938428014288444,0.003478555952283609,0.3466649824123239
future_vol_5d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,SPY,0.005002668543521408,0.003504242960772265,0.3295568783485141
future_vol_5d,Random Forest,Random Forest | baseline,baseline,SPY,0.0050234534188475875,0.0032759842379535727,0.323974247795045
future_vol_5d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,SPY,0.005073394187650433,0.0034745566269658735,0.31046598483824184
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,SPY,0.004735122118746383,0.0031057489423797153,0.3993508747919582
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,SPY,0.004812006891232201,0.0032730088739617667,0.379686886552701
future_vol_5d,XGBoost,XGBoost | baseline,baseline,SPY,0.004888610916123068,0.0031878670736853808,0.3597797193575025
future_vol_5d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,SPY,0.004888951671993806,0.003256160595184407,0.3596904643825364
future_vol_5d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,SPY,0.0050019749419975435,0.0034395284022268402,0.32974277438784494
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,SPY,0.005003964667409443,0.0031811157701099107,0.32920942781960916
future_vol_5d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,SPY,0.005061071350652739,0.003484972790305987,0.3138115541753005
future_vol_5d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,SPY,0.005132006474169178,0.003519698530503121,0.2944417535546475
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,XLE,0.006943397632565416,0.004858789379049559,0.2190047379397213
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,XLE,0.006967512827054065,0.004904668155705441,0.2135703498567625
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLE,0.007142363767583067,0.005007293118519232,0.1736039054386549
future_vol_5d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,XLE,0.007176626124772948,0.005034525433610536,0.16565634304600185
future_vol_5d,Linear Regression,Linear Regression | baseline,baseline,XLE,0.007461901922702369,0.005316246623766113,0.09800652028230139
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,XLE,0.007478055468109378,0.005347571850618315,0.09409701737133436
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,XLE,0.007988938599263095,0.0056446560295531,-0.03390941895405186
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLE,0.00803844248736427,0.005670412484808403,-0.04676246900948189
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,XLE,0.006920518032183273,0.004889553405309242,0.2241432652349178
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,XLE,0.007035032261722663,0.005009040866686628,0.19825453519369984
future_vol_5d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,XLE,0.007071709700745501,0.005038115269973834,0.1898728749717532
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLE,0.007081964822988851,0.004979336461342626,0.18752154071487337
future_vol_5d,Random Forest,Random Forest | baseline,baseline,XLE,0.007335124436563828,0.005134123103640316,0.12839583512248853
future_vol_5d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,XLE,0.007360445085319934,0.005189847770357713,0.12236794155300723
future_vol_5d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLE,0.007449591064928281,0.005261574500547284,0.10098033405016027
future_vol_5d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,XLE,0.007711256793264402,0.005355325320915909,0.03671531222512314
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,XLE,0.007004548098795492,0.004909695623649911,0.20518771919709822
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLE,0.007059963049042036,0.0048190763744505455,0.19256200615487096
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,XLE,0.007155218672380881,0.0051155447735934,0.17062651493273162
future_vol_5d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,XLE,0.007255582544469477,0.005144380537640925,0.14719664590122195
